model: yolov8l.yaml (Train8) 500 epochs
                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.0174,                 1.0108,                 1.5272,                0.94262,                0.94471,                0.97731,                0.82064,                0.68834,                 0.4454,                 1.2404,              0.0093466,              0.0093466,              0.0093466
                     36,                 1.0024,                0.98808,                 1.5135,                 0.9482,                0.94525,                0.97902,                0.82841,                 0.6698,                0.42978,                 1.2226,              0.0093268,              0.0093268,              0.0093268
                     37,                0.99237,                0.97465,                 1.5006,                0.94918,                0.95077,                0.97995,                0.83388,                0.65509,                0.41678,                 1.2068,               0.009307,               0.009307,               0.009307
                     38,                0.98149,                0.95978,                 1.4884,                0.95009,                0.95432,                  0.981,                0.84007,                 0.6394,                0.40494,                 1.1902,              0.0092872,              0.0092872,              0.0092872
                     39,                0.96825,                0.94223,                 1.4781,                0.95331,                0.95638,                0.98208,                0.84526,                0.62671,                0.39433,                  1.177,              0.0092674,              0.0092674,              0.0092674
                     40,                0.96139,                0.93376,                 1.4668,                0.95447,                0.95839,                0.98288,                0.84959,                0.61557,                0.38495,                 1.1644,              0.0092476,              0.0092476,              0.0092476
                     41,                0.95289,                0.91725,                 1.4629,                0.95509,                 0.9611,                0.98368,                0.85426,                0.60335,                0.37619,                 1.1528,              0.0092278,              0.0092278,              0.0092278
                     42,                 0.9378,                0.90187,                 1.4489,                0.95547,                0.96359,                0.98421,                0.85815,                0.59225,                0.36821,                 1.1418,               0.009208,               0.009208,               0.009208
                     43,                0.92818,                0.88502,                 1.4376,                0.95588,                0.96506,                0.98486,                0.86215,                0.58195,                0.36076,                 1.1312,              0.0091882,              0.0091882,              0.0091882
                     44,                0.91737,                0.87006,                 1.4281,                0.95577,                0.96739,                0.98514,                 0.8656,                0.57272,                0.35433,                 1.1218,              0.0091684,              0.0091684,              0.0091684
                     45,                0.91289,                0.86539,                 1.4211,                0.95709,                0.96891,                0.98558,                0.86843,                0.56399,                0.34818,                 1.1129,              0.0091486,              0.0091486,              0.0091486
                     46,                0.90436,                0.85519,                 1.4171,                0.95859,                0.96822,                 0.9859,                0.87179,                0.55604,                 0.3426,                 1.1052,              0.0091288,              0.0091288,              0.0091288
                     47,                 0.8954,                0.85087,                 1.4086,                0.96003,                0.96807,                0.98608,                0.87421,                0.54861,                0.33777,                  1.098,               0.009109,               0.009109,               0.009109
                     48,                0.89531,                 0.8462,                 1.4041,                0.95953,                0.96972,                0.98624,                0.87635,                0.54196,                0.33348,                 1.0913,              0.0090892,              0.0090892,              0.0090892
                     49,                0.88119,                0.82445,                  1.393,                0.95955,                 0.9706,                0.98634,                0.87852,                 0.5358,                 0.3299,                 1.0852,              0.0090694,              0.0090694,              0.0090694
                     50,                0.87763,                0.81774,                  1.387,                0.96046,                0.97083,                 0.9865,                0.88051,                0.52958,                0.32618,                 1.0792,              0.0090496,              0.0090496,              0.0090496
                     51,                0.87105,                0.81079,                 1.3826,                0.96067,                 0.9719,                0.98668,                0.88235,                0.52397,                0.32274,                 1.0736,              0.0090298,              0.0090298,              0.0090298
                     52,                0.86112,                 0.8046,                 1.3737,                0.96094,                 0.9727,                0.98686,                0.88396,                0.51862,                0.31941,                 1.0684,                0.00901,                0.00901,                0.00901
                     53,                0.85509,                0.79722,                 1.3666,                0.96074,                0.97379,                0.98698,                0.88576,                 0.5136,                0.31623,                 1.0634,              0.0089902,              0.0089902,              0.0089902
                     54,                0.85401,                0.79276,                 1.3663,                0.96093,                0.97447,                0.98713,                0.88733,                0.50884,                0.31316,                 1.0588,              0.0089704,              0.0089704,              0.0089704
                     55,                0.84816,                0.78373,                 1.3597,                0.96157,                  0.975,                0.98733,                0.88893,                0.50398,                0.31046,                 1.0543,              0.0089506,              0.0089506,              0.0089506
                     56,                0.84082,                0.78008,                  1.354,                0.96187,                0.97578,                0.98757,                0.89049,                0.49952,                0.30775,                   1.05,              0.0089308,              0.0089308,              0.0089308
                     57,                 0.8288,                0.76349,                 1.3417,                0.96224,                0.97617,                0.98765,                0.89185,                0.49511,                0.30509,                 1.0458,               0.008911,               0.008911,               0.008911
                     58,                0.82957,                0.76886,                 1.3387,                0.96186,                0.97753,                0.98773,                0.89332,                0.49094,                0.30274,                 1.0416,              0.0088912,              0.0088912,              0.0088912
                     59,                0.82169,                0.75704,                 1.3315,                0.96214,                0.97811,                0.98782,                 0.8948,                  0.487,                0.30031,                 1.0377,              0.0088714,              0.0088714,              0.0088714
                     60,                0.82011,                0.74907,                 1.3311,                0.96253,                 0.9784,                0.98786,                  0.896,                0.48312,                0.29791,                 1.0339,              0.0088516,              0.0088516,              0.0088516
                     61,                0.81599,                0.75205,                 1.3259,                0.96294,                0.97863,                0.98794,                0.89731,                0.47935,                0.29563,                 1.0303,              0.0088318,              0.0088318,              0.0088318
                     62,                0.80821,                0.73905,                 1.3219,                0.96465,                0.97809,                0.98813,                0.89881,                0.47583,                 0.2935,                 1.0269,               0.008812,               0.008812,               0.008812
                     63,                0.80509,                0.73184,                 1.3162,                0.96498,                0.97829,                0.98827,                0.89976,                0.47221,                0.29127,                 1.0234,              0.0087922,              0.0087922,              0.0087922
                     64,                0.79921,                0.73126,                 1.3126,                0.96507,                0.97835,                0.98839,                0.90089,                0.46867,                0.28922,                 1.0199,              0.0087724,              0.0087724,              0.0087724
                     65,                0.79367,                0.72009,                 1.3043,                0.96546,                0.97861,                0.98849,                0.90208,                0.46507,                0.28711,                 1.0166,              0.0087526,              0.0087526,              0.0087526
                     66,                0.79153,                0.72167,                 1.3007,                0.96557,                0.97894,                0.98867,                0.90339,                0.46157,                0.28504,                 1.0132,              0.0087328,              0.0087328,              0.0087328
                     67,                0.78844,                0.71437,                 1.2985,                0.96537,                0.97958,                0.98875,                0.90463,                0.45812,                0.28298,                   1.01,               0.008713,               0.008713,               0.008713
                     68,                0.78179,                0.70713,                 1.2908,                0.96585,                0.97984,                0.98884,                0.90593,                0.45457,                0.28102,                 1.0065,              0.0086932,              0.0086932,              0.0086932
                     69,                0.77955,                0.71104,                 1.2916,                0.96602,                0.98009,                0.98891,                0.90735,                0.45109,                  0.279,                 1.0033,              0.0086734,              0.0086734,              0.0086734
                     70,                0.77831,                0.71002,                 1.2892,                0.96631,                0.98002,                  0.989,                0.90839,                0.44765,                0.27708,                      1,              0.0086536,              0.0086536,              0.0086536
                     71,                0.77117,                0.70309,                 1.2845,                0.96641,                0.98042,                0.98908,                0.90986,                0.44437,                0.27519,                0.99695,              0.0086338,              0.0086338,              0.0086338
                     72,                0.77022,                0.69861,                 1.2821,                0.96683,                 0.9804,                0.98918,                0.91083,                0.44111,                0.27326,                0.99385,               0.008614,               0.008614,               0.008614
                     73,                0.76684,                0.69229,                  1.281,                 0.9669,                0.98044,                0.98926,                0.91198,                0.43777,                0.27145,                0.99093,              0.0085942,              0.0085942,              0.0085942
                     74,                0.76353,                0.68245,                 1.2764,                0.96698,                0.98054,                0.98932,                0.91311,                0.43456,                0.26955,                0.98802,              0.0085744,              0.0085744,              0.0085744
                     75,                0.76123,                0.68756,                 1.2752,                0.96761,                0.98025,                0.98938,                 0.9141,                0.43136,                0.26778,                0.98507,              0.0085546,              0.0085546,              0.0085546
                     76,                0.75798,                0.67895,                 1.2709,                0.96756,                0.98071,                0.98944,                0.91536,                0.42817,                0.26608,                0.98224,              0.0085348,              0.0085348,              0.0085348
                     77,                0.75511,                0.67137,                 1.2695,                0.96778,                0.98063,                0.98949,                 0.9167,                0.42505,                0.26448,                0.97946,               0.008515,               0.008515,               0.008515
                     78,                0.74904,                 0.6712,                 1.2606,                0.96778,                0.98075,                0.98948,                0.91805,                0.42199,                0.26271,                0.97655,              0.0084952,              0.0084952,              0.0084952
                     79,                0.74578,                0.66925,                 1.2596,                0.96773,                0.98096,                0.98952,                0.91888,                0.41889,                0.26093,                0.97378,              0.0084754,              0.0084754,              0.0084754
                     80,                 0.7429,                0.66542,                 1.2547,                0.96715,                0.98202,                0.98964,                0.91997,                 0.4158,                0.25932,                0.97097,              0.0084556,              0.0084556,              0.0084556
                     81,                0.74082,                0.66238,                 1.2553,                0.96707,                0.98261,                0.98974,                0.92126,                0.41267,                 0.2577,                0.96823,              0.0084358,              0.0084358,              0.0084358
                     82,                0.73889,                0.66065,                 1.2535,                0.96705,                0.98305,                0.98981,                0.92246,                0.40977,                0.25615,                0.96572,               0.008416,               0.008416,               0.008416
                     83,                0.73882,                0.66106,                  1.248,                0.96746,                0.98313,                0.98986,                0.92362,                 0.4068,                0.25456,                 0.9631,              0.0083962,              0.0083962,              0.0083962
                     84,                0.73445,                0.65652,                 1.2465,                0.96737,                0.98341,                0.98997,                0.92463,                0.40401,                0.25294,                0.96063,              0.0083764,              0.0083764,              0.0083764
                     85,                0.73046,                 0.6517,                  1.247,                0.96693,                0.98428,                0.99005,                0.92555,                0.40117,                0.25146,                0.95811,              0.0083566,              0.0083566,              0.0083566
                     86,                0.72982,                0.64822,                 1.2451,                0.96695,                0.98438,                0.99012,                0.92658,                0.39832,                0.25006,                0.95566,              0.0083368,              0.0083368,              0.0083368
                     87,                0.72626,                0.64474,                 1.2347,                0.96659,                0.98484,                0.99011,                0.92734,                0.39562,                0.24863,                0.95323,               0.008317,               0.008317,               0.008317
                     88,                0.72392,                0.64689,                 1.2436,                0.96744,                0.98426,                0.99019,                0.92833,                0.39281,                0.24728,                0.95091,              0.0082972,              0.0082972,              0.0082972
                     89,                0.72093,                0.63284,                 1.2322,                 0.9677,                0.98438,                0.99023,                0.92954,                0.39016,                0.24588,                0.94844,              0.0082774,              0.0082774,              0.0082774
                     90,                0.71867,                0.63611,                 1.2349,                0.96758,                0.98485,                 0.9903,                0.93027,                0.38755,                0.24454,                0.94614,              0.0082576,              0.0082576,              0.0082576
                     91,                0.71315,                0.63135,                 1.2253,                0.96748,                0.98505,                0.99037,                0.93127,                0.38506,                0.24322,                0.94382,              0.0082378,              0.0082378,              0.0082378
                     92,                0.71957,                0.63344,                 1.2306,                0.96763,                0.98495,                0.99042,                0.93217,                0.38243,                0.24185,                0.94145,               0.008218,               0.008218,               0.008218
                     93,                0.71266,                0.63323,                 1.2274,                0.96855,                 0.9841,                0.99049,                0.93317,                0.37991,                0.24047,                0.93922,              0.0081982,              0.0081982,              0.0081982
                     94,                0.71384,                0.62513,                 1.2319,                0.96765,                0.98556,                0.99054,                0.93413,                0.37752,                0.23922,                0.93725,              0.0081784,              0.0081784,              0.0081784
                     95,                0.70484,                0.62265,                 1.2158,                0.96863,                 0.9849,                0.99062,                0.93515,                 0.3751,                 0.2381,                0.93514,              0.0081586,              0.0081586,              0.0081586
                     96,                0.70827,                0.62518,                 1.2259,                 0.9689,                0.98482,                0.99066,                0.93606,                0.37267,                0.23691,                0.93306,              0.0081388,              0.0081388,              0.0081388
                     97,                 0.7046,                0.62163,                 1.2194,                0.96879,                0.98516,                0.99071,                0.93688,                0.37022,                0.23562,                0.93092,               0.008119,               0.008119,               0.008119
                     98,                0.70059,                0.62009,                 1.2107,                0.96891,                0.98538,                0.99078,                0.93765,                0.36777,                0.23441,                0.92869,              0.0080992,              0.0080992,              0.0080992
                     99,                0.70023,                0.61638,                   1.21,                 0.9688,                0.98563,                0.99085,                0.93855,                0.36537,                0.23302,                0.92653,              0.0080794,              0.0080794,              0.0080794
                    100,                0.69849,                0.61136,                 1.2084,                0.96869,                0.98611,                0.99085,                0.93934,                0.36303,                0.23161,                0.92442,              0.0080596,              0.0080596,              0.0080596
                    101,                0.69334,                 0.6055,                 1.2083,                0.96935,                0.98563,                0.99091,                0.94037,                0.36076,                0.23038,                0.92238,              0.0080398,              0.0080398,              0.0080398
                    102,                0.69408,                0.61073,                 1.2088,                0.96975,                0.98574,                0.99097,                0.94105,                0.35851,                0.22914,                0.92045,                0.00802,                0.00802,                0.00802
                    103,                0.69416,                0.60985,                 1.2139,                0.96949,                0.98627,                0.99103,                0.94175,                 0.3563,                0.22779,                0.91864,              0.0080002,              0.0080002,              0.0080002
                    104,                0.69348,                0.60567,                 1.2091,                0.96938,                0.98638,                0.99113,                0.94235,                0.35417,                 0.2267,                 0.9169,              0.0079804,              0.0079804,              0.0079804
                    105,                0.68619,                0.59736,                 1.2013,                0.96924,                0.98666,                0.99121,                 0.9434,                0.35195,                0.22553,                0.91505,              0.0079606,              0.0079606,              0.0079606
                    106,                  0.684,                0.59802,                 1.1974,                0.96935,                0.98659,                0.99126,                0.94431,                0.34977,                0.22427,                0.91322,              0.0079408,              0.0079408,              0.0079408
                    107,                0.68182,                 0.5992,                 1.1967,                0.96949,                0.98661,                 0.9913,                0.94499,                 0.3477,                0.22303,                 0.9114,               0.007921,               0.007921,               0.007921
                    108,                0.68181,                0.59755,                 1.1922,                0.96986,                0.98638,                0.99134,                0.94569,                0.34569,                0.22188,                0.90954,              0.0079012,              0.0079012,              0.0079012
                    109,                0.68178,                0.59616,                  1.192,                0.97028,                0.98585,                0.99142,                0.94642,                0.34375,                0.22074,                0.90767,              0.0078814,              0.0078814,              0.0078814
                    110,                0.67913,                0.59163,                 1.1952,                 0.9703,                0.98593,                 0.9915,                0.94706,                0.34178,                0.21968,                0.90599,              0.0078616,              0.0078616,              0.0078616
                    111,                0.67827,                0.59502,                 1.1909,                0.97026,                0.98614,                0.99159,                0.94774,                0.33982,                0.21862,                0.90429,              0.0078418,              0.0078418,              0.0078418
                    112,                0.67552,                 0.5873,                 1.1901,                0.97037,                 0.9863,                0.99166,                0.94828,                0.33787,                0.21753,                0.90263,               0.007822,               0.007822,               0.007822
                    113,                0.67993,                 0.5946,                 1.1953,                0.97053,                0.98618,                 0.9917,                 0.9493,                0.33602,                 0.2165,                  0.901,              0.0078022,              0.0078022,              0.0078022
                    114,                0.67568,                0.58525,                 1.1904,                 0.9707,                0.98622,                0.99175,                0.94989,                0.33423,                0.21543,                0.89943,              0.0077824,              0.0077824,              0.0077824
                    115,                0.67502,                0.58865,                 1.1829,                0.97139,                0.98564,                 0.9918,                0.95047,                0.33241,                0.21442,                0.89779,              0.0077626,              0.0077626,              0.0077626
                    116,                0.66842,                 0.5849,                 1.1861,                0.97162,                0.98561,                0.99184,                0.95141,                0.33073,                0.21343,                0.89628,              0.0077428,              0.0077428,              0.0077428
                    117,                0.66936,                0.58581,                 1.1836,                0.97169,                 0.9857,                0.99189,                0.95189,                0.32895,                0.21265,                 0.8947,               0.007723,               0.007723,               0.007723
                    118,                0.66511,                 0.5771,                 1.1809,                0.97195,                0.98578,                 0.9919,                0.95244,                0.32717,                0.21169,                0.89321,              0.0077032,              0.0077032,              0.0077032
                    119,                0.66479,                0.57838,                 1.1793,                0.97169,                0.98612,                0.99198,                 0.9531,                0.32548,                0.21055,                0.89174,              0.0076834,              0.0076834,              0.0076834
                    120,                0.66566,                0.57917,                 1.1805,                0.97069,                0.98699,                0.99203,                0.95363,                0.32387,                0.20961,                0.89032,              0.0076636,              0.0076636,              0.0076636
                    121,                 0.6619,                0.57647,                 1.1795,                0.97077,                 0.9871,                0.99208,                0.95439,                 0.3223,                0.20868,                0.88894,              0.0076438,              0.0076438,              0.0076438
                    122,                0.65741,                0.56973,                 1.1772,                 0.9699,                0.98777,                0.99213,                0.95484,                0.32066,                0.20763,                0.88753,               0.007624,               0.007624,               0.007624
                    123,                0.65952,                0.57056,                 1.1745,                0.97008,                0.98798,                0.99218,                 0.9555,                0.31907,                 0.2068,                0.88615,              0.0076042,              0.0076042,              0.0076042
                    124,                0.65621,                0.56838,                 1.1688,                0.97018,                0.98802,                 0.9922,                0.95592,                0.31754,                 0.2058,                0.88469,              0.0075844,              0.0075844,              0.0075844
                    125,                0.65535,                0.57123,                 1.1739,                0.97085,                0.98748,                0.99217,                0.95646,                0.31595,                0.20489,                0.88334,              0.0075646,              0.0075646,              0.0075646
                    126,                0.65452,                0.56732,                 1.1736,                0.97062,                0.98757,                0.99222,                 0.9568,                0.31439,                0.20386,                  0.882,              0.0075448,              0.0075448,              0.0075448
                    127,                0.65314,                0.56819,                 1.1713,                0.97095,                0.98738,                0.99228,                 0.9573,                0.31294,                0.20284,                0.88079,               0.007525,               0.007525,               0.007525
                    128,                0.64941,                0.56675,                 1.1696,                0.97083,                0.98731,                0.99229,                0.95757,                0.31138,                0.20207,                0.87949,              0.0075052,              0.0075052,              0.0075052
                    129,                0.64834,                0.56179,                 1.1642,                0.97139,                0.98702,                0.99231,                0.95836,                0.30983,                0.20125,                0.87817,              0.0074854,              0.0074854,              0.0074854
                    130,                0.64776,                0.56008,                 1.1638,                0.97137,                  0.987,                0.99235,                0.95873,                 0.3084,                0.20044,                0.87687,              0.0074656,              0.0074656,              0.0074656
                    131,                0.64791,                0.56317,                 1.1608,                0.97113,                 0.9873,                0.99238,                0.95939,                0.30699,                0.19969,                0.87556,              0.0074458,              0.0074458,              0.0074458
                    132,                0.64388,                0.55871,                 1.1576,                0.97083,                0.98773,                 0.9924,                0.95966,                0.30547,                0.19891,                0.87409,               0.007426,               0.007426,               0.007426
                    133,                0.64338,                0.55872,                 1.1614,                0.97103,                0.98727,                0.99241,                0.96007,                0.30396,                0.19819,                0.87274,              0.0074062,              0.0074062,              0.0074062
                    134,                0.64465,                0.56031,                 1.1593,                0.97134,                0.98712,                0.99246,                0.96062,                0.30262,                0.19736,                0.87148,              0.0073864,              0.0073864,              0.0073864
                    135,                0.63809,                0.55217,                 1.1488,                0.97186,                0.98656,                0.99249,                0.96085,                0.30131,                0.19652,                0.87017,              0.0073666,              0.0073666,              0.0073666
                    136,                0.63925,                0.55295,                 1.1592,                0.97151,                0.98691,                 0.9925,                0.96135,                0.29998,                0.19578,                0.86906,              0.0073468,              0.0073468,              0.0073468
                    137,                0.63482,                0.55202,                 1.1553,                0.97154,                0.98728,                0.99253,                0.96172,                0.29866,                0.19503,                0.86799,               0.007327,               0.007327,               0.007327
                    138,                0.63563,                0.54885,                 1.1556,                 0.9715,                0.98759,                0.99258,                0.96222,                0.29727,                0.19411,                0.86686,              0.0073072,              0.0073072,              0.0073072
                    139,                0.63573,                0.54833,                 1.1465,                0.97148,                0.98772,                0.99261,                0.96262,                0.29605,                0.19329,                0.86563,              0.0072874,              0.0072874,              0.0072874
                    140,                0.63433,                0.54702,                 1.1544,                0.97171,                0.98748,                0.99263,                0.96293,                0.29482,                0.19251,                0.86456,              0.0072676,              0.0072676,              0.0072676
                    141,                0.63223,                0.54484,                 1.1504,                0.97327,                0.98594,                0.99266,                0.96325,                 0.2935,                0.19159,                0.86335,              0.0072478,              0.0072478,              0.0072478
                    142,                0.62819,                0.54214,                 1.1484,                  0.973,                0.98611,                 0.9927,                0.96363,                0.29216,                0.19084,                0.86229,               0.007228,               0.007228,               0.007228
                    143,                0.62893,                0.54018,                  1.141,                0.97319,                0.98612,                0.99272,                0.96404,                0.29089,                0.18997,                0.86107,              0.0072082,              0.0072082,              0.0072082
                    144,                0.63122,                0.54255,                 1.1428,                0.97345,                  0.986,                0.99274,                0.96424,                0.28962,                0.18934,                0.85997,              0.0071884,              0.0071884,              0.0071884
                    145,                0.62477,                0.53901,                 1.1402,                 0.9731,                0.98625,                0.99275,                 0.9647,                0.28837,                0.18868,                0.85887,              0.0071686,              0.0071686,              0.0071686
                    146,                0.62715,                0.53838,                 1.1417,                0.97348,                0.98603,                0.99279,                0.96502,                0.28713,                 0.1881,                0.85778,              0.0071488,              0.0071488,              0.0071488
                    147,                0.62126,                0.53351,                 1.1428,                0.97345,                 0.9861,                0.99283,                0.96535,                0.28594,                0.18757,                0.85678,               0.007129,               0.007129,               0.007129
                    148,                0.62431,                0.53559,                 1.1449,                0.97317,                0.98649,                0.99284,                0.96574,                0.28474,                0.18681,                0.85575,              0.0071092,              0.0071092,              0.0071092
                    149,                0.62086,                0.53396,                  1.139,                0.97248,                0.98714,                0.99289,                0.96594,                0.28357,                0.18614,                0.85468,              0.0070894,              0.0070894,              0.0070894
                    150,                0.61836,                0.53199,                 1.1415,                0.97281,                0.98702,                0.99291,                0.96648,                0.28246,                0.18566,                0.85377,              0.0070696,              0.0070696,              0.0070696
                    151,                0.62188,                0.53426,                 1.1437,                0.97274,                0.98679,                0.99291,                0.96682,                0.28136,                0.18516,                0.85286,              0.0070498,              0.0070498,              0.0070498
                    152,                 0.6193,                0.52838,                 1.1379,                0.97325,                0.98635,                0.99293,                0.96718,                0.28026,                0.18459,                0.85192,                0.00703,                0.00703,                0.00703
                    153,                0.61716,                 0.5283,                 1.1364,                0.97277,                0.98707,                0.99294,                0.96735,                0.27923,                  0.184,                  0.851,              0.0070102,              0.0070102,              0.0070102
                    154,                0.61544,                0.52739,                 1.1379,                0.97255,                0.98739,                0.99292,                0.96756,                0.27817,                 0.1834,                0.85014,              0.0069904,              0.0069904,              0.0069904
                    155,                0.61553,                0.52492,                 1.1337,                0.97237,                0.98778,                0.99297,                0.96788,                 0.2772,                0.18287,                0.84928,              0.0069706,              0.0069706,              0.0069706
                    156,                0.61484,                 0.5246,                 1.1353,                0.97238,                0.98761,                0.99299,                0.96816,                0.27612,                 0.1824,                0.84846,              0.0069508,              0.0069508,              0.0069508
                    157,                0.61026,                0.52052,                 1.1293,                0.97209,                0.98833,                0.99302,                0.96857,                0.27502,                0.18185,                0.84753,               0.006931,               0.006931,               0.006931
